 	ho	messo	uno	specchio	sul	muro	</S>
a8	0.081811523	0.07453763	0.074893113	0.0921822425	0.234948355	0.232723085	0.20890406
a31	0.155702491	0.10093532	0.0720313696667	0.0755528958333	0.226760741667	0.200317356667	0.168699843333
a17	0.185641160333	0.113314265667	0.0775720098889	0.0950933186111	0.240927177222	0.160592587222	0.126859477778
a11	0.153181743444	0.102727280889	0.075575199963	0.118574536204	0.279861922407	0.154128925741	0.115950375926
a31	0.198236827815	0.126936626963	0.0973790866543	0.117551148735	0.230255304136	0.12714964858	0.102491360642
a20	0.214654592605	0.137707065654	0.0966954355514	0.119942956245	0.199217734712	0.124608759527	0.107173468881
a31	0.230272974202	0.144542751885	0.0890058585171	0.122465488748	0.186267841571	0.121577789842	0.105867304627
a37	0.254077691401	0.156520933962	0.0866151411724	0.120902632916	0.161461023857	0.116068466614	0.104354118542
a24	0.2326075738	0.162366681321	0.0777041087241	0.107756837639	0.173994304619	0.130739132205	0.114831391514
a28	0.197048717933	0.15036541044	0.0694560142414	0.0994580158797	0.200332474873	0.152316850735	0.131022547171
a31	0.222657289311	0.141658526813	0.0720101194138	0.112093275293	0.186191984958	0.141571398245	0.123817415724
a24	0.233290123104	0.142834625604	0.0778145631379	0.101249289431	0.163778178319	0.141661450748	0.139371761908
a35	0.183204074368	0.134702663535	0.075181406046	0.0735539151437	0.18168199944	0.170161043583	0.181514890636
a31	0.229269844789	0.152933356178	0.0724971770153	0.0682198327146	0.16452943648	0.153067314528	0.159483076879
a20	0.239769161596	0.156589635393	0.0639672006718	0.0624387025715	0.175640375493	0.154820824843	0.146774142293
</S>	0.184492850798	0.134043262696	0.0587761528359	0.0537179587858	0.215585587746	0.183750292421	0.169633911147
