 	il	lupo	non	cammina	mai	nemmeno	con	la	volpe	</S>
a20	0.0309455444806	0.11463232897	0.0505865682295	0.260997306071	0.0313834651803	0.285994795004	0.0282724958627	0.0306692522451	0.121844930508	0.0446733189244
a35	0.0293725868269	0.122088659657	0.0504119687432	0.266366715357	0.0293380003934	0.281989298335	0.0263266032876	0.0288886750817	0.123152350169	0.0420651529748
a20	0.0312246099423	0.120177029886	0.0523080785811	0.260071721786	0.0314469374645	0.277128942778	0.0284406264292	0.0310429333606	0.12348487339	0.0446742543249
a31	0.0389993243141	0.109431589962	0.055746665527	0.237057483929	0.0396312748215	0.275202804259	0.0371121204764	0.0392731727869	0.11606691113	0.0514786531083
a24	0.0506612867714	0.101551463321	0.0612971938423	0.203957534643	0.0502920949405	0.268263678086	0.0488356068255	0.0502157425956	0.106962550377	0.0579628243694
a31	0.0635255822571	0.099627191107	0.0703201879474	0.172536228214	0.0628422159802	0.236743216029	0.0619814322752	0.0628558558652	0.101927303459	0.0676407547898
a8	0.078274007419	0.100183953702	0.0818928893158	0.142389162738	0.0776385686601	0.18440934201	0.0772083107584	0.0776955419551	0.10018480782	0.0801234282633
a31	0.089487492473	0.101018434567	0.0911551031053	0.121408302913	0.08902940422	0.140119359003	0.0888456519195	0.0890716073184	0.09978533594	0.0900793044211
a41	0.094594512491	0.101071916856	0.0954143690351	0.111596479638	0.09427373274	0.119979031334	0.0941918323065	0.0943041124395	0.09983889198	0.0947351031404
a8	0.0973660258303	0.100686067619	0.097760864345	0.105848839879	0.0971831409133	0.109573813778	0.0971449921022	0.0971977674798	0.0998432593267	0.0973952343801
a31	0.0985298252768	0.100493361206	0.098744138115	0.103383203293	0.0984095503044	0.105179196593	0.0983901820341	0.0984190938266	0.0999333984422	0.0985180547934
</S>	0.0988093376384	0.100483218603	0.0989777740575	0.102833366647	0.0986993651522	0.104039016297	0.098685606017	0.0987089839133	0.0999865992211	0.0987767323967
